sender_name,receiver_name,amount,timestamp,transaction_type
Ravi Kumar,Deepak Rao,4090,2026-07-01T07:00:00,UPI
Deepak Rao,Vikram Singh,9493,2026-07-11T21:00:00,NEFT
Manoj Tiwari,Rahul Sharma,1006,2026-07-22T05:00:00,CASH
Ravi Kumar,Vikram Singh,8966,2026-07-17T05:00:00,CASH
Suresh Yadav,Deepak Rao,37116,2026-07-29T12:00:00,NEFT
Vikram Singh,Suresh Yadav,45346,2026-07-19T14:00:00,UPI
Sanjay Mehta,Rahul Sharma,21016,2026-07-25T13:00:00,NEFT
Ravi Kumar,Manoj Tiwari,27873,2026-07-13T08:00:00,UPI
Ravi Kumar,Rahul Sharma,21784,2026-07-08T07:00:00,CASH
Sanjay Mehta,Ravi Kumar,24214,2026-07-04T18:00:00,NEFT
Vikram Singh,Sanjay Mehta,29052,2026-07-26T03:00:00,NEFT
Vikram Singh,Suresh Yadav,20834,2026-07-15T11:00:00,UPI
Manoj Tiwari,Ravi Kumar,11518,2026-07-04T06:00:00,CASH
Vikram Singh,Deepak Rao,33920,2026-07-09T06:00:00,NEFT
Manoj Tiwari,Sanjay Mehta,10179,2026-07-11T01:00:00,UPI
Amit Verma,Sanjay Mehta,46616,2026-07-08T09:00:00,CASH
Amit Verma,Ravi Kumar,5438,2026-07-08T13:00:00,CASH
Sanjay Mehta,Suresh Yadav,37444,2026-07-25T17:00:00,NEFT
Manoj Tiwari,Ravi Kumar,21218,2026-07-07T10:00:00,NEFT
Vikram Singh,Suresh Yadav,29480,2026-07-27T22:00:00,NEFT
Deepak Rao,Sanjay Mehta,4181,2026-07-16T00:00:00,CASH
Vikram Singh,Amit Verma,30760,2026-07-20T06:00:00,UPI
Rahul Sharma,Amit Verma,19313,2026-07-04T06:00:00,CASH
Vikram Singh,Deepak Rao,39433,2026-07-22T15:00:00,NEFT
Sanjay Mehta,Deepak Rao,36827,2026-07-02T18:00:00,NEFT
Suresh Yadav,Amit Verma,49956,2026-07-21T07:00:00,CASH
Amit Verma,Rahul Sharma,30025,2026-07-05T09:00:00,NEFT
Vikram Singh,Deepak Rao,11808,2026-07-02T16:00:00,UPI
Sanjay Mehta,Suresh Yadav,34845,2026-07-23T07:00:00,CASH
Amit Verma,Sanjay Mehta,24935,2026-07-13T01:00:00,NEFT
Ravi Kumar,Sanjay Mehta,22675,2026-07-29T23:00:00,CASH
Rahul Sharma,Ravi Kumar,22431,2026-07-03T19:00:00,NEFT
Vikram Singh,Deepak Rao,25833,2026-07-13T02:00:00,NEFT
Amit Verma,Sanjay Mehta,5841,2026-07-25T20:00:00,CASH
Amit Verma,Sanjay Mehta,20831,2026-07-28T23:00:00,CASH
