caller_number,receiver_number,timestamp,duration_sec,tower_location
9988776655,9876543210,2026-07-21T04:36:00,180,Vijay Nagar
9123456780,9876543210,2026-07-14T08:26:00,377,Vijay Nagar
9876543210,9123456780,2026-07-26T18:08:00,708,Rajwada
9988776655,9123456780,2026-07-11T23:03:00,519,Sudama Nagar
9765432109,9012345678,2026-07-21T21:58:00,271,Malviya Nagar
9012345678,9871234560,2026-07-04T08:40:00,462,Vijay Nagar
9012345678,9765432109,2026-07-20T07:27:00,716,Vijay Nagar
9871234560,9012345678,2026-07-22T23:47:00,119,Rajwada
9876543210,9012345678,2026-07-14T10:28:00,32,Bhawarkuan
9345678901,9456789012,2026-07-14T00:36:00,804,Rajwada
9871234560,9765432109,2026-07-12T09:45:00,704,Rajwada
9345678901,9456789012,2026-07-21T01:29:00,44,Sudama Nagar
9876543210,9123456780,2026-07-15T20:51:00,775,Bhawarkuan
9988776655,9123456780,2026-07-25T03:49:00,523,Vijay Nagar
9876543210,9765432109,2026-07-16T09:58:00,833,Malviya Nagar
9876543210,9988776655,2026-07-19T02:04:00,876,Sudama Nagar
9871234560,9012345678,2026-07-25T10:04:00,136,Bhawarkuan
9456789012,9345678901,2026-07-17T21:44:00,120,Rajwada
9456789012,9345678901,2026-07-03T21:02:00,660,Bhawarkuan
9765432109,9012345678,2026-07-06T07:26:00,153,Malviya Nagar
9876543210,9871234560,2026-07-05T10:09:00,250,Sudama Nagar
9012345678,9765432109,2026-07-27T17:31:00,770,Rajwada
9345678901,9456789012,2026-07-19T13:46:00,296,Malviya Nagar
9123456780,9988776655,2026-07-11T17:53:00,885,Vijay Nagar
9456789012,9345678901,2026-07-03T18:08:00,417,Vijay Nagar
9123456780,9876543210,2026-07-10T15:40:00,667,Sudama Nagar
9876543210,9345678901,2026-07-16T04:16:00,259,Rajwada
9876543210,9988776655,2026-07-27T16:29:00,231,Rajwada
9988776655,9876543210,2026-07-13T14:51:00,889,Rajwada
9012345678,9345678901,2026-07-08T22:35:00,122,Malviya Nagar
9871234560,9012345678,2026-07-01T17:14:00,188,Vijay Nagar
9012345678,9345678901,2026-07-24T22:37:00,126,Malviya Nagar
9876543210,9871234560,2026-07-21T13:42:00,525,Rajwada
9988776655,9123456780,2026-07-21T20:18:00,668,Malviya Nagar
9012345678,9345678901,2026-07-19T06:40:00,446,Malviya Nagar
9871234560,9765432109,2026-07-15T15:49:00,632,Rajwada
9012345678,9345678901,2026-07-27T15:22:00,571,Vijay Nagar
9456789012,9345678901,2026-07-24T00:11:00,629,Bhawarkuan
9876543210,9456789012,2026-07-20T13:45:00,472,Rajwada
9012345678,9765432109,2026-07-05T07:51:00,330,Bhawarkuan
9012345678,9871234560,2026-07-22T14:01:00,78,Malviya Nagar
9123456780,9876543210,2026-07-17T23:01:00,841,Rajwada
9456789012,9345678901,2026-07-19T16:42:00,372,Bhawarkuan
9345678901,9456789012,2026-07-28T07:48:00,329,Vijay Nagar
9876543210,9456789012,2026-07-22T22:40:00,239,Malviya Nagar
9456789012,9345678901,2026-07-13T16:16:00,597,Rajwada
9345678901,9456789012,2026-07-02T07:37:00,194,Vijay Nagar
9012345678,9765432109,2026-07-01T06:40:00,195,Rajwada
9871234560,9765432109,2026-07-02T09:29:00,103,Sudama Nagar
9012345678,9765432109,2026-07-08T03:55:00,388,Vijay Nagar
9876543210,9456789012,2026-07-08T01:56:00,171,Sudama Nagar
9123456780,9871234560,2026-07-13T09:12:00,463,Bhawarkuan
9012345678,9765432109,2026-07-10T19:27:00,783,Sudama Nagar
9871234560,9012345678,2026-07-27T23:51:00,508,Sudama Nagar
9876543210,9123456780,2026-07-28T06:37:00,66,Malviya Nagar
9876543210,9123456780,2026-07-14T04:09:00,345,Malviya Nagar
9876543210,9345678901,2026-07-08T23:54:00,142,Bhawarkuan
9988776655,9123456780,2026-07-04T06:43:00,416,Malviya Nagar
9871234560,9012345678,2026-07-27T04:52:00,449,Sudama Nagar
9456789012,9345678901,2026-07-06T05:48:00,424,Malviya Nagar
9988776655,9345678901,2026-07-21T22:32:00,861,Vijay Nagar
9876543210,9123456780,2026-07-27T19:12:00,420,Sudama Nagar
9876543210,9012345678,2026-07-11T02:00:00,351,Rajwada
9345678901,9456789012,2026-07-16T21:36:00,369,Rajwada
9123456780,9876543210,2026-07-08T21:30:00,626,Rajwada
9345678901,9456789012,2026-07-23T11:42:00,485,Sudama Nagar
9765432109,9012345678,2026-07-15T09:18:00,164,Bhawarkuan
9012345678,9345678901,2026-07-14T18:45:00,825,Vijay Nagar
9876543210,9871234560,2026-07-15T03:02:00,482,Bhawarkuan
9012345678,9345678901,2026-07-14T01:33:00,88,Malviya Nagar
9456789012,9345678901,2026-07-27T09:52:00,577,Malviya Nagar
9345678901,9456789012,2026-07-28T12:49:00,497,Sudama Nagar
9123456780,9876543210,2026-07-16T15:07:00,741,Malviya Nagar
9876543210,9988776655,2026-07-20T22:08:00,459,Sudama Nagar
9876543210,9988776655,2026-07-13T20:59:00,406,Bhawarkuan
9345678901,9456789012,2026-07-03T23:59:00,347,Malviya Nagar
9012345678,9765432109,2026-07-28T10:18:00,163,Vijay Nagar
9345678901,9456789012,2026-07-15T02:51:00,681,Bhawarkuan
9345678901,9456789012,2026-07-26T10:29:00,395,Vijay Nagar
9345678901,9456789012,2026-07-24T03:24:00,380,Malviya Nagar
9876543210,9123456780,2026-07-23T03:08:00,206,Rajwada
9988776655,9876543210,2026-07-14T11:05:00,874,Malviya Nagar
9345678901,9456789012,2026-07-06T23:08:00,621,Bhawarkuan
9988776655,9876543210,2026-07-20T22:03:00,54,Bhawarkuan
9345678901,9456789012,2026-07-13T23:13:00,780,Bhawarkuan
9123456780,9988776655,2026-07-09T19:55:00,386,Sudama Nagar
9876543210,9345678901,2026-07-13T19:46:00,806,Bhawarkuan
9871234560,9765432109,2026-07-28T12:27:00,151,Vijay Nagar
9012345678,9345678901,2026-07-17T21:27:00,577,Malviya Nagar
9345678901,9456789012,2026-07-04T19:36:00,791,Rajwada
9345678901,9456789012,2026-07-05T04:10:00,237,Bhawarkuan
9123456780,9876543210,2026-07-19T01:02:00,524,Vijay Nagar
9123456780,9876543210,2026-07-02T06:47:00,336,Malviya Nagar
9456789012,9345678901,2026-07-07T06:17:00,49,Vijay Nagar
9765432109,9871234560,2026-07-22T08:23:00,469,Sudama Nagar
9123456780,9871234560,2026-07-01T20:45:00,272,Rajwada
9456789012,9345678901,2026-07-14T02:41:00,253,Vijay Nagar
9123456780,9988776655,2026-07-03T20:36:00,123,Bhawarkuan
9988776655,9876543210,2026-07-07T12:49:00,308,Bhawarkuan
9012345678,9345678901,2026-07-11T22:45:00,594,Bhawarkuan
